srcStateName,srcYear,srcMonth,Settlement of Integrated goods and services tax ( IGST ),YearCode,Year,MonthCode,Month
Mizoram,2017-18,Oct - 2017,9.930500305,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Tripura,2017-18,Oct - 2017,35.995233285,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Uttar Pradesh,2017-18,Sep - 2017,1195.1561722,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Jammu and Kashmir,2017-18,Sep - 2017,142.5625083,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017"
Nagaland,2017-18,Oct - 2017,12.214177109,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Manipur,2017-18,Oct - 2017,19.469384612,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Telangana,2017-18,Oct - 2017,784.385585861,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Andaman and Nicobar Islands,2017-18,Oct - 2017,7.745768141,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Puducherry,2017-18,Oct - 2017,16.470055293,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Jammu and Kashmir,2017-18,Oct - 2017,195.822291023,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Himachal Pradesh,2017-18,Oct - 2017,75.951647506,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Punjab,2017-18,Oct - 2017,478.661802838,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Andhra Pradesh,2017-18,Oct - 2017,690.384341853,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Tamil Nadu,2017-18,Oct - 2017,952.644069597,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Kerala,2017-18,Oct - 2017,822.647490075,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Chandigarh,2017-18,Oct - 2017,64.695050165,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Uttarakhand,2017-18,Oct - 2017,-9.868357559,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Delhi,2017-18,Oct - 2017,752.272137476,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Haryana,2017-18,Oct - 2017,232.712874386,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
