srcStateName,srcYear,srcMonth,Type of supply,E-way suppliers,E-way bills,E-way asset value,YearCode,Year,MonthCode,Month
HIMACHAL PRADESH,2019-20,Apr - 2019,Inter State Outwards,4750,242229,9719.840349302,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
PUNJAB,2019-20,Apr - 2019,Inter State Outwards,43655,764073,21816.477993965,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
CHANDIGARH,2019-20,Apr - 2019,Inter State Outwards,4869,78019,1398.290186989,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
UTTARAKHAND,2019-20,Apr - 2019,Inter State Outwards,7073,302370,15210.721406901,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
HARYANA,2019-20,Apr - 2019,Inter State Outwards,51739,1998846,54676.167899246,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
DELHI,2019-20,Apr - 2019,Inter State Outwards,116846,1625244,51303.119555845,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
RAJASTHAN,2019-20,Apr - 2019,Inter State Outwards,45224,1307837,28153.161555758,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
UTTAR PRADESH,2019-20,Apr - 2019,Inter State Outwards,66690,1208030,45481.705780571,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
BIHAR,2019-20,Apr - 2019,Inter State Outwards,5959,60442,2260.525423257,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
SIKKIM,2019-20,Apr - 2019,Inter State Outwards,155,7384,2017.619285728,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
ARUNACHAL PRADESH,2019-20,Apr - 2019,Inter State Outwards,157,1046,61.489068322,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
NAGALAND,2019-20,Apr - 2019,Inter State Outwards,221,2646,74.41999923,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
MANIPUR,2019-20,Apr - 2019,Inter State Outwards,86,480,12.640937428,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
MIZORAM,2019-20,Apr - 2019,Inter State Outwards,79,544,91.035615543,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
TRIPURA,2019-20,Apr - 2019,Inter State Outwards,302,1562,137.140501179,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
MEGHALAYA,2019-20,Apr - 2019,Inter State Outwards,344,28939,502.914745637,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
ASSAM,2019-20,Apr - 2019,Inter State Outwards,8256,145094,4862.555660067,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
WEST BENGAL,2019-20,Apr - 2019,Inter State Outwards,36589,689069,27090.706668096,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
JHARKHAND,2019-20,Apr - 2019,Inter State Outwards,7134,208033,10995.980711788,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
ODISHA,2019-20,Apr - 2019,Inter State Outwards,5003,193626,17636.476489028,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
CHHATTISGARH,2019-20,Apr - 2019,Inter State Outwards,7158,162553,11009.854149857,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
MADHYA PRADESH,2019-20,Apr - 2019,Inter State Outwards,18020,368248,16981.796776741,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
GUJARAT,2019-20,Apr - 2019,Inter State Outwards,118615,4146041,85203.012007389,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
DAMAN AND DIU,2019-20,Apr - 2019,Inter State Outwards,1686,182022,4296.203318115,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
DADRA AND NAGAR HAVELI,2019-20,Apr - 2019,Inter State Outwards,1966,254637,8898.53156754,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
MAHARASHTRA,2019-20,Apr - 2019,Inter State Outwards,99072,3063906,98424.003785532,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
KARNATAKA,2019-20,Apr - 2019,Inter State Outwards,41604,1256945,40432.545156402,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
GOA,2019-20,Apr - 2019,Inter State Outwards,1499,50523,3708.956955079,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
LAKSHADWEEP,2019-20,Apr - 2019,Inter State Outwards,0,0,0,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
KERALA,2019-20,Apr - 2019,Inter State Outwards,12127,147558,5672.82419571,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
TAMIL NADU,2019-20,Apr - 2019,Inter State Outwards,63529,1615664,57884.425754596,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
PUDUCHERRY,2019-20,Apr - 2019,Inter State Outwards,1996,99411,2736.447149662,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
ANDAMAN AND NICOBAR,2019-20,Apr - 2019,Inter State Outwards,62,250,22.076376862,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
TELANGANA,2019-20,Apr - 2019,Inter State Outwards,25033,499320,20368.929641741,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
ANDHRA PRADESH,2019-20,Apr - 2019,Inter State Outwards,18351,338813,22973.176845248,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
JAMMU AND KASHMIR,2019-20,Apr - 2019,Inter State Inwards,17798,192097,5163.808963482,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
HIMACHAL PRADESH,2019-20,Apr - 2019,Inter State Inwards,21084,280337,8066.298238402,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
PUNJAB,2019-20,Apr - 2019,Inter State Inwards,62774,764969,23499.217049062,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
CHANDIGARH,2019-20,Apr - 2019,Inter State Inwards,8094,104183,2110.968913945,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
UTTARAKHAND,2019-20,Apr - 2019,Inter State Inwards,22977,422078,12132.24628912,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
HARYANA,2019-20,Apr - 2019,Inter State Inwards,87102,1483285,51435.692588754,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
DELHI,2019-20,Apr - 2019,Inter State Inwards,109592,1467699,41694.696224906,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
RAJASTHAN,2019-20,Apr - 2019,Inter State Inwards,88557,1067414,32505.810765094,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
UTTAR PRADESH,2019-20,Apr - 2019,Inter State Inwards,167388,2305087,65667.105620797,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
BIHAR,2019-20,Apr - 2019,Inter State Inwards,53655,779530,14433.44640798,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
SIKKIM,2019-20,Apr - 2019,Inter State Inwards,1472,24818,682.432286736,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
