ROWID,Country,State lgd code,State,YearCode,Year,MonthCode,Month,Type of supply,E-way suppliers,E-way bills,E-way asset value
62,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202003,"March, 2020",Inter State Outwards,1722,21281,1317.327353429
63,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202003,"March, 2020",Intra State ,3478,89324,1710.980872111
64,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020",Inter State Inwards,3279,24128,1645.359728539
65,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020",Inter State Outwards,374,6654,717.461602287
66,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020",Intra State,1022,31352,877.333098658
67,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202005,"May, 2020",Inter State Inwards,10800,85674,3465.512706985
68,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202005,"May, 2020",Inter State Outwards,1166,19189,1841.427952093
69,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202005,"May, 2020",Intra State,2388,81513,1667.63893413
70,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202006,"June, 2020",Inter State Inwards,15777,170913,4952.055430056
71,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202006,"June, 2020",Inter State Outwards,1978,29589,2529.899393309
72,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202006,"June, 2020",Intra State,3512,141971,2448.052229005
73,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202007,"July, 2020",Inter State Inwards,16919,184344,5265.295676805
74,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202007,"July, 2020",Inter State Outwards,2252,33468,2705.639656827
75,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202007,"July, 2020",Intra State,3853,153002,2600.495350739
76,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202008,"August, 2020",Inter State Inwards,16276,164083,4904.104750021
77,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202008,"August, 2020",Inter State Outwards,2247,30802,2573.895370134
78,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202008,"August, 2020",Intra State,3756,133554,2349.147356666
79,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202009,"September, 2020",Inter State Inwards,18226,216025,5598.888822068
80,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202009,"September, 2020",Inter State Outwards,2577,36160,2426.799285967
81,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202009,"September, 2020",Intra State,4211,158726,2531.10623846
82,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202010,"October, 2020",Inter State Inwards,19560,262654,5833.676567074
83,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202010,"October, 2020",Inter State Outwards,2749,38569,2394.449759148
84,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202010,"October, 2020",Intra State,4508,167249,2657.059075394
85,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",Inter State Inwards,18267,204561,488940.08
86,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",Inter State Outwards,2504,31675,195361.73
87,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",Intra State,4422,155516,248739.34
88,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",Inter State Inwards,17034,177612,5008.7154
89,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",Inter State Outwards,2582,35699,2118.2768
90,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",Intra State,4529,150162,2444.2017
91,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202101,"January, 2021",Inter State Inwards,15392,150668,4516.57
92,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202101,"January, 2021",Inter State Outwards,2244,31377,2082.56
93,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202101,"January, 2021",Intra State,4440,130285,2218.87
94,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202102,"February, 2021",Inter State Inwards,17867,196177,5360.2882
95,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202102,"February, 2021",Inter State Outwards,2322,31973,2228.1647
96,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202102,"February, 2021",Intra State,4843,161736,2782.9356
97,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202103,"March, 2021",Inter State Inwards,20179,247131,6550.81
98,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202103,"March, 2021",Inter State Outwards,2656,36672,2511.66
99,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202103,"March, 2021",Intra State,5683,202617,3666.37
100,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021",Inter State Inwards,18453,197813,6284.5357
101,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021",Inter State Outwards,2519,33182,2475.826
102,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021",Intra State,5101,183787,3227.2358
103,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202105,"May, 2021",Inter State Inwards,12446,106195,4659.8325
104,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202105,"May, 2021",Inter State Outwards,2056,28256,2552.0411
105,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202105,"May, 2021",Intra State,3664,117635,2445.2191
106,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202106,"June, 2021",Inter State Inwards,17698,189551,6184.6986
107,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202106,"June, 2021",Inter State Outwards,2783,36682,2911.5004
108,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202106,"June, 2021",Intra State,4909,179645,3154.1968
109,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202107,"July, 2021",Inter State Inwards,18758,212018,6394.5482
110,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202107,"July, 2021",Inter State Outwards,3006,39266,2981.0653
111,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202107,"July, 2021",Intra State,5087,186560,3155.0245
112,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202108,"August, 2021",Inter State Inwards,18925,208759,6263.2156
113,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202108,"August, 2021",Inter State Outwards,3224,40280,2732.5348
114,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202108,"August, 2021",Intra State,5279,193388,3233.205
115,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202109,"September, 2021",Inter State Inwards,19535,233276,6488.6768
116,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202109,"September, 2021",Inter State Outwards,3266,40852,2646.0873
117,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202109,"September, 2021",Intra State,5404,203446,3199.1262
118,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202110,"October, 2021",Inter State Inwards,18924,197750,4922.9078
119,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202110,"October, 2021",Inter State Outwards,3405,42272,2640.3311
120,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202110,"October, 2021",Intra State,5516,199759,3255.8152
121,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202111,"November, 2021",Inter State Inwards,18924,197750,4922.9078
122,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202111,"November, 2021",Inter State Outwards,3405,42272,2640.3311
123,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202111,"November, 2021",Intra State,5516,199759,3255.8152
124,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202112,"December, 2021",Inter State Inwards,19121,200855,617629.87
125,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202112,"December, 2021",Inter State Outwards,3208,38788,250418.68
126,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202112,"December, 2021",Intra State,5742,192751,323083.7
127,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022",Inter State Inwards,16821,156055,535102.42
128,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022",Inter State Outwards,2478,31900,225546.28
129,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022",Intra State,5346,154213,281941.71
130,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202202,"February, 2022",Inter State Inwards,18696,192684,608445.74
131,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202202,"February, 2022",Inter State Outwards,2623,33445,236301.04
132,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202202,"February, 2022",Intra State,5861,192550,341839.9
133,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022",Inter State Inwards,21320,260100,782412.4
134,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022",Inter State Outwards,3121,40328,293519.86
135,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022",Intra State,6696,248324,465096.5
136,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022",Inter State Inwards,20576,239641,735055.69
137,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022",Inter State Outwards,3434,43614,299181.37
138,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022",Intra State,6243,230962,407882.57
139,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202205,"May, 2022",Inter State Inwards,20000,220593,717704.55
140,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202205,"May, 2022",Inter State Outwards,3564,45628,344466.08
141,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202205,"May, 2022",Intra State,6224,225682,387615.12
142,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022",Inter State Inwards,20144,207648,714451.18
143,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022",Inter State Outwards,3629,45425,347748.32
144,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022",Intra State,6352,232953,396267.38
145,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201807,"July, 2018",Inter State Inwards,19921,264357,73490620658.77
146,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201807,"July, 2018",Inter State Outwards,4342,225165,91391668113.82
147,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201807,"July, 2018",Intra State,5581,185647,36063718240.13
148,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201808,"August, 2018",Inter State Inwards,20946,302942,86464603250.44
149,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201808,"August, 2018",Inter State Outwards,4554,267605,109160869071.99
150,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201808,"August, 2018",Intra State,5834,215642,39507906830.68
151,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201809,"September, 2018",Inter State Inwards,19633,282299,83295978307.12
152,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201809,"September, 2018",Inter State Outwards,4524,259345,106503100816.82
153,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201809,"September, 2018",Intra State,5818,205533,39621345102.86
154,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201810,"October, 2018",Inter State Inwards,21652,310533,89254406165.9
155,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201810,"October, 2018",Inter State Outwards,4647,275144,108309509609.78
156,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201810,"October, 2018",Intra State,6322,234475,41874756554.76
157,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201811,"November, 2018",Inter State Inwards,19521,255946,76569529832.98
158,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201811,"November, 2018",Inter State Outwards,4566,237404,93317792029.03
159,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201811,"November, 2018",Intra State,6380,208575,36862032474.01
160,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018",Inter State Inwards,19386,266068,80093898324.02
161,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018",Inter State Outwards,4735,258915,104895696164.47
162,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018",Intra State,6642,217432,40069968032.92
163,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201901,"January, 2019",Inter State Inwards,18584,255311,7935.6
164,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201901,"January, 2019",Inter State Outwards,4632,257550,10032.3
165,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201901,"January, 2019",Intra State,6624,206442,4037.21
166,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201902,"February, 2019",Inter State Inwards,18170,246461,7511.33
167,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201902,"February, 2019",Inter State Outwards,4590,239628,9393.17
168,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201902,"February, 2019",Intra State,6611,195056,3869.11
169,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201903,"March, 2019",Inter State Inwards,20029,277200,8717.31
170,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201903,"March, 2019",Inter State Outwards,4812,261206,10574.72
171,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201903,"March, 2019",Intra State,7303,226911,4402.96
172,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019",Inter State Inwards,21084,280337,8066.298238402
173,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019",Inter State Outwards,4750,242229,9719.840349302
174,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019",Intra State ,7051,233800,4582.563242021
175,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201905,"May, 2019",Inter State Inwards,20243,286996,8429.407608813
176,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201905,"May, 2019",Inter State Outwards,4828,260065,10235.000280063
177,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201905,"May, 2019",Intra State ,6971,239401,4705.624842765
178,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201906,"June, 2019",Inter State Inwards,19398,268593,7714.943183563
179,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201906,"June, 2019",Inter State Outwards,4692,248567,9786.542616275
180,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201906,"June, 2019",Intra State ,6823,232954,4390.726887548
