srcStateName,srcYear,srcMonth,GST ( Goods and Service Tax ) Return Type,Payer eligible for GST ( Goods and Service Tax ) registration,GST ( Goods and Service Tax ) Payers registered before due date,GST ( Goods and Service Tax ) Payers registered after due date,YearCode,Year,MonthCode,Month
West Bengal,2017-18,Aug-2017,GSTR-3,405036,135795,244833,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Daman and Diu,2017-18,Aug-2017,GSTR-1,2512,2230,109,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Assam,2017-18,Aug-2017,GSTR-3,111825,20779,74012,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Delhi,2017-18,Aug-2017,GSTR-3,492379,214872,276828,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Himachal Pradesh,2017-18,Aug-2017,GSTR-3,58745,21838,33941,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Rajasthan,2017-18,Aug-2017,GSTR-1,126607,96765,5552,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Andaman and Nicobar Islands,2017-18,Aug-2017,GSTR-1,2208,1088,385,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Ladakh,2017-18,Aug-2017,GSTR-1,0,0,0,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Lakshadweep,2017-18,Aug-2017,GSTR-3,220,56,114,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Himachal Pradesh,2017-18,Aug-2017,GSTR-1,22018,15849,1585,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Meghalaya,2017-18,Aug-2017,GSTR-3,13712,2678,9595,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Goa,2017-18,Aug-2017,GSTR-1,10774,8605,946,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Rajasthan,2017-18,Aug-2017,GSTR-3,422945,180075,230333,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Goa,2017-18,Aug-2017,GSTR-3,23786,8001,15170,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Andhra Pradesh,2017-18,Aug-2017,GSTR-1,129603,100118,10158,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Jammu and Kashmir,2017-18,Aug-2017,GSTR-1,23864,17338,2199,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Punjab,2017-18,Dec-2017,GSTR-1,254559,215323,28175,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Puducherry,2017-18,Dec-2017,GSTR-3,15975,9994,5474,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Andaman and Nicobar Islands,2017-18,Dec-2017,GSTR-3,4016,882,2358,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Chandigarh,2017-18,Dec-2017,GSTR-1,24261,19525,3612,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Manipur,2017-18,Dec-2017,GSTR-1,7712,4026,1524,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Telangana,2017-18,Dec-2017,GSTR-3,241225,137227,83997,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
West Bengal,2017-18,Dec-2017,GSTR-1,443892,344268,63508,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Haryana,2017-18,Dec-2017,GSTR-3,321480,240271,66404,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Andhra Pradesh,2017-18,Dec-2017,GSTR-3,215764,140154,61322,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Ladakh,2017-18,Dec-2017,GSTR-3,,,,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Mizoram,2017-18,Dec-2017,GSTR-1,3748,2284,658,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Assam,2017-18,Dec-2017,GSTR-1,114563,62828,28379,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Tripura,2017-18,Dec-2017,GSTR-1,16864,11299,3403,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Meghalaya,2017-18,Dec-2017,GSTR-1,15398,8677,3577,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Delhi,2017-18,Dec-2017,GSTR-3,558644,400879,132917,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Goa,2017-18,Dec-2017,GSTR-1,26231,19986,4194,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Rajasthan,2017-18,Dec-2017,GSTR-3,433360,314825,100714,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Himachal Pradesh,2017-18,Dec-2017,GSTR-1,60956,46128,9922,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Uttarakhand,2017-18,Dec-2017,GSTR-1,99756,65197,21882,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Uttar Pradesh,2017-18,Dec-2017,GSTR-3,847512,621454,172004,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Bihar,2017-18,Dec-2017,GSTR-3,219776,122495,72964,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Kerala,2017-18,Dec-2017,GSTR-1,234754,184822,39177,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Karnataka,2017-18,Dec-2017,GSTR-1,556414,397527,100596,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Sikkim,2017-18,Dec-2017,GSTR-3,4003,2321,1433,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Chandigarh,2017-18,Dec-2017,GSTR-3,24261,19033,4383,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Haryana,2017-18,Dec-2017,GSTR-1,321480,247493,55385,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Arunachal Pradesh,2017-18,Dec-2017,GSTR-3,6705,2022,3754,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Puducherry,2017-18,Dec-2017,GSTR-1,15975,11786,2882,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Nagaland,2017-18,Dec-2017,GSTR-3,4778,1260,2795,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Maharashtra,2017-18,Dec-2017,GSTR-1,1094504,831309,210110,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Manipur,2017-18,Dec-2017,GSTR-3,7712,2101,4100,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Delhi,2017-18,Dec-2017,GSTR-1,558644,442617,83954,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Mizoram,2017-18,Dec-2017,GSTR-3,3748,1312,1881,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Dadra and Nagar Haveli,2017-18,Dec-2017,GSTR-1,6809,5529,857,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Tripura,2017-18,Dec-2017,GSTR-3,16864,8900,6446,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Andhra Pradesh,2017-18,Dec-2017,GSTR-1,215764,157114,35766,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Meghalaya,2017-18,Dec-2017,GSTR-3,15398,6252,7106,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Daman and Diu,2017-18,Dec-2017,GSTR-1,5254,4240,750,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Rajasthan,2017-18,Dec-2017,GSTR-1,433360,333036,78787,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Assam,2017-18,Dec-2017,GSTR-3,114563,48429,48792,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Andaman and Nicobar Islands,2017-18,Dec-2017,GSTR-1,4016,1767,1159,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Jammu and Kashmir,2017-18,Dec-2017,GSTR-3,66074,42030,19778,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
West Bengal,2017-18,Dec-2017,GSTR-3,443892,294267,124955,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Jharkhand,2017-18,Dec-2017,GSTR-3,108087,70612,30333,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Gujarat,2017-18,Dec-2017,GSTR-1,698869,577834,99977,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Uttar Pradesh,2017-18,Dec-2017,GSTR-1,847512,599829,168443,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Odisha,2017-18,Dec-2017,GSTR-3,168723,97072,54475,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Ladakh,2017-18,Dec-2017,GSTR-1,0,0,0,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Punjab,2017-18,Dec-2017,GSTR-3,254559,211686,34229,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Chhattisgarh,2017-18,Dec-2017,GSTR-3,90937,48492,34573,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Madhya Pradesh,2017-18,Dec-2017,GSTR-3,286853,186782,82185,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Madhya Pradesh,2017-18,Dec-2017,GSTR-1,286853,205783,55661,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Bihar,2017-18,Dec-2017,GSTR-1,219776,133902,53190,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Gujarat,2017-18,Dec-2017,GSTR-3,698869,524420,160097,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Daman and Diu,2017-18,Dec-2017,GSTR-3,5254,3438,1608,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Telangana,2017-18,Dec-2017,GSTR-1,241225,168267,40483,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Jammu and Kashmir,2017-18,Dec-2017,GSTR-1,66074,45665,13095,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Dadra and Nagar Haveli,2017-18,Dec-2017,GSTR-3,6809,4527,1921,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Sikkim,2017-18,Dec-2017,GSTR-1,4003,2811,795,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Tamil Nadu,2017-18,Dec-2017,GSTR-1,712131,523313,110043,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Maharashtra,2017-18,Dec-2017,GSTR-3,1094504,742207,319072,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Chhattisgarh,2017-18,Dec-2017,GSTR-1,90937,57652,21571,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Karnataka,2017-18,Dec-2017,GSTR-3,556414,380553,142377,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Lakshadweep,2017-18,Dec-2017,GSTR-1,253,98,56,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Arunachal Pradesh,2017-18,Dec-2017,GSTR-1,6705,3660,1685,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Goa,2017-18,Dec-2017,GSTR-3,26231,15466,9208,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Uttarakhand,2017-18,Dec-2017,GSTR-3,99756,58927,31349,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Odisha,2017-18,Dec-2017,GSTR-1,168723,104201,38674,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Lakshadweep,2017-18,Dec-2017,GSTR-3,253,67,99,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Kerala,2017-18,Dec-2017,GSTR-3,234754,150254,78404,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Himachal Pradesh,2017-18,Dec-2017,GSTR-3,60956,41404,15751,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Nagaland,2017-18,Dec-2017,GSTR-1,4778,2406,1325,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Tamil Nadu,2017-18,Dec-2017,GSTR-3,712131,453712,204399,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Jharkhand,2017-18,Dec-2017,GSTR-1,108087,76636,20707,2017,"Financial Year (Apr - Mar), 2017",201709,"December, 2017"
Puducherry,2017-18,Feb-2018,GSTR-3,16534,10324,5624,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Rajasthan,2017-18,Feb-2018,GSTR-3,449574,310935,117765,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Kerala,2017-18,Feb-2018,GSTR-1,133611,107297,19048,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Manipur,2017-18,Feb-2018,GSTR-1,4940,2236,862,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Meghalaya,2017-18,Feb-2018,GSTR-3,15996,6623,7102,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Daman and Diu,2017-18,Feb-2018,GSTR-1,2694,2353,144,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Delhi,2017-18,Feb-2018,GSTR-3,582444,389890,161140,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Arunachal Pradesh,2017-18,Feb-2018,GSTR-1,3771,1849,831,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Assam,2017-18,Feb-2018,GSTR-3,119071,50255,49467,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Rajasthan,2017-18,Feb-2018,GSTR-1,122081,98438,9093,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Nagaland,2017-18,Feb-2018,GSTR-1,3218,1474,915,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Chandigarh,2017-18,Feb-2018,GSTR-1,9830,8293,559,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Goa,2017-18,Feb-2018,GSTR-3,27195,15535,9874,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Meghalaya,2017-18,Feb-2018,GSTR-1,8845,4270,2047,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
West Bengal,2017-18,Feb-2018,GSTR-3,463943,310097,125848,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Andaman and Nicobar Islands,2017-18,Feb-2018,GSTR-1,2518,1074,596,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Gujarat,2017-18,Feb-2018,GSTR-1,234200,204768,14592,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Goa,2017-18,Feb-2018,GSTR-1,11924,8797,1618,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Punjab,2017-18,Feb-2018,GSTR-1,86098,72955,4002,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Jharkhand,2017-18,Feb-2018,GSTR-3,115174,70747,35813,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Punjab,2017-18,Feb-2018,GSTR-3,261849,209508,42292,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Uttar Pradesh,2017-18,Feb-2018,GSTR-1,289980,203422,34105,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Odisha,2017-18,Feb-2018,GSTR-3,178748,101524,57428,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Uttarakhand,2017-18,Feb-2018,GSTR-3,105004,62029,32083,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Tripura,2017-18,Feb-2018,GSTR-1,7224,4554,1210,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
West Bengal,2017-18,Feb-2018,GSTR-1,167478,121103,21887,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Lakshadweep,2017-18,Feb-2018,GSTR-1,187,52,30,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Tamil Nadu,2017-18,Feb-2018,GSTR-3,737038,461515,213103,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Chhattisgarh,2017-18,Feb-2018,GSTR-3,93525,49195,35651,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Mizoram,2017-18,Feb-2018,GSTR-1,2578,1461,406,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Madhya Pradesh,2017-18,Feb-2018,GSTR-1,100963,71679,12608,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Assam,2017-18,Feb-2018,GSTR-1,57763,29012,10611,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Lakshadweep,2017-18,Feb-2018,GSTR-3,260,64,100,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Madhya Pradesh,2017-18,Feb-2018,GSTR-3,299740,183727,94922,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Bihar,2017-18,Feb-2018,GSTR-1,88999,47436,17219,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Ladakh,2017-18,Feb-2018,GSTR-3,,,,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Gujarat,2017-18,Feb-2018,GSTR-3,723682,531204,175966,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Telangana,2017-18,Feb-2018,GSTR-1,157538,108308,23272,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Himachal Pradesh,2017-18,Feb-2018,GSTR-3,65105,43294,17371,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Daman and Diu,2017-18,Feb-2018,GSTR-3,5406,3462,1699,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Andaman and Nicobar Islands,2017-18,Feb-2018,GSTR-3,4182,911,2419,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Haryana,2017-18,Feb-2018,GSTR-3,337143,240084,79995,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Dadra and Nagar Haveli,2017-18,Feb-2018,GSTR-3,7075,4517,2137,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Andhra Pradesh,2017-18,Feb-2018,GSTR-3,223004,138121,68784,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Chhattisgarh,2017-18,Feb-2018,GSTR-1,37957,24210,6359,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Sikkim,2017-18,Feb-2018,GSTR-1,2145,1423,391,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Kerala,2017-18,Feb-2018,GSTR-3,242006,140239,94765,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Maharashtra,2017-18,Feb-2018,GSTR-3,1133258,741702,352946,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Sikkim,2017-18,Feb-2018,GSTR-3,4277,2380,1593,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Chandigarh,2017-18,Feb-2018,GSTR-3,24962,18998,4965,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Tamil Nadu,2017-18,Feb-2018,GSTR-1,472374,350056,56474,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
Arunachal Pradesh,2017-18,Feb-2018,GSTR-3,7381,2406,3848,2017,"Financial Year (Apr - Mar), 2017",201711,"February, 2018"
