srcStateName,srcYear,srcMonth,GST ( Goods and Service Tax ) Return Type,Payer eligible for GST ( Goods and Service Tax ) registration,GST ( Goods and Service Tax ) Payers registered before due date,GST ( Goods and Service Tax ) Payers registered after due date,YearCode,Year,MonthCode,Month
Rajasthan,2019-20,Feb-2020,GSTR-3,547860,390373,132181,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Puducherry,2019-20,Feb-2020,GSTR-3,19500,14061,3994,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Himachal Pradesh,2019-20,Feb-2020,GSTR-3,85952,64425,17300,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Odisha,2019-20,Feb-2020,GSTR-3,223670,158639,55186,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Daman and Diu,2019-20,Feb-2020,GSTR-1,3077,2328,444,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Uttar Pradesh,2019-20,Feb-2020,GSTR-3,1144874,831119,238571,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Jharkhand,2019-20,Feb-2020,GSTR-1,59716,36278,17112,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Bihar,2019-20,Feb-2020,GSTR-3,314833,205516,87270,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
West Bengal,2019-20,Feb-2020,GSTR-1,240337,129485,50583,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Sikkim,2019-20,Feb-2020,GSTR-3,7399,4302,2261,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Tamil Nadu,2019-20,Feb-2020,GSTR-3,867846,657056,162678,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Chhattisgarh,2019-20,Feb-2020,GSTR-1,45889,25407,13152,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Assam,2019-20,Feb-2020,GSTR-1,70808,30124,20614,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Ladakh,2019-20,Feb-2020,GSTR-1,982,0,423,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Arunachal Pradesh,2019-20,Feb-2020,GSTR-3,12621,5380,4084,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Kerala,2019-20,Feb-2020,GSTR-3,302553,198695,83441,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Odisha,2019-20,Feb-2020,GSTR-1,88358,45831,25492,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Meghalaya,2019-20,Feb-2020,GSTR-1,15896,4547,3585,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Maharashtra,2019-20,Feb-2020,GSTR-1,457177,284183,85567,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Andhra Pradesh,2019-20,Feb-2020,GSTR-1,188319,128641,33362,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Chandigarh,2019-20,Feb-2020,GSTR-3,27165,20625,5636,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Tripura,2019-20,Feb-2020,GSTR-1,9683,4697,2529,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Lakshadweep,2019-20,Feb-2020,GSTR-3,253,102,91,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Nagaland,2019-20,Feb-2020,GSTR-3,6695,3364,2233,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Mizoram,2019-20,Feb-2020,GSTR-1,4501,1857,973,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Andaman and Nicobar Islands,2019-20,Feb-2020,GSTR-3,3822,1626,1927,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Goa,2019-20,Feb-2020,GSTR-3,35756,21313,9155,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Telangana,2019-20,Feb-2020,GSTR-1,238143,135886,48641,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Punjab,2019-20,Feb-2020,GSTR-3,310694,233143,59799,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Manipur,2019-20,Feb-2020,GSTR-1,7146,2056,2133,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Manipur,2019-20,Feb-2020,GSTR-3,10379,4311,3730,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Karnataka,2019-20,Feb-2020,GSTR-3,731853,549635,135977,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Andaman and Nicobar Islands,2019-20,Feb-2020,GSTR-1,2542,842,1131,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Nagaland,2019-20,Feb-2020,GSTR-1,4794,2023,1467,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Dadra and Nagar Haveli,2019-20,Feb-2020,GSTR-1,4015,3139,407,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Jammu and Kashmir,2019-20,Feb-2020,GSTR-3,91600,50491,29085,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Maharashtra,2019-20,Feb-2020,GSTR-3,1375391,943366,336805,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Arunachal Pradesh,2019-20,Feb-2020,GSTR-1,7020,1782,1728,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Puducherry,2019-20,Feb-2020,GSTR-1,13336,9563,2347,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Mizoram,2019-20,Feb-2020,GSTR-3,6245,3217,1583,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Telangana,2019-20,Feb-2020,GSTR-3,353580,221606,84106,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Sikkim,2019-20,Feb-2020,GSTR-1,3729,1818,959,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Madhya Pradesh,2019-20,Feb-2020,GSTR-3,348074,267788,76296,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Karnataka,2019-20,Feb-2020,GSTR-1,443322,301218,85320,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Gujarat,2019-20,Feb-2020,GSTR-1,294413,224639,35331,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Dadra and Nagar Haveli,2019-20,Feb-2020,GSTR-3,8172,5823,1891,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Meghalaya,2019-20,Feb-2020,GSTR-3,26675,14957,6064,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Bihar,2019-20,Feb-2020,GSTR-1,108549,50287,34790,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Lakshadweep,2019-20,Feb-2020,GSTR-1,181,54,42,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Tamil Nadu,2019-20,Feb-2020,GSTR-1,613352,454234,98057,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Uttar Pradesh,2019-20,Feb-2020,GSTR-1,379844,215306,90799,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Daman and Diu,2019-20,Feb-2020,GSTR-3,5809,4169,1345,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Tripura,2019-20,Feb-2020,GSTR-3,23986,16403,5074,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Madhya Pradesh,2019-20,Feb-2020,GSTR-1,118866,77968,27267,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Uttarakhand,2019-20,Feb-2020,GSTR-3,130276,90875,30670,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Rajasthan,2019-20,Feb-2020,GSTR-1,150750,102068,23684,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Kerala,2019-20,Feb-2020,GSTR-1,174499,118780,35773,2019,"Financial Year (Apr - Mar), 2019",201911,"February, 2020"
Jammu and Kashmir,2019-20,Jan-2020,GSTR-3,91657,58255,21445,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Nagaland,2019-20,Jan-2020,GSTR-1,4925,998,2480,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Kerala,2019-20,Jan-2020,GSTR-1,175450,76635,77778,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Bihar,2019-20,Jan-2020,GSTR-3,332957,226390,62958,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Chandigarh,2019-20,Jan-2020,GSTR-1,9816,6506,2438,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Maharashtra,2019-20,Jan-2020,GSTR-3,1370415,1000210,273562,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Daman and Diu,2019-20,Jan-2020,GSTR-3,5807,4195,1328,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Odisha,2019-20,Jan-2020,GSTR-1,91315,25637,45578,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Lakshadweep,2019-20,Jan-2020,GSTR-1,180,39,55,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Jharkhand,2019-20,Jan-2020,GSTR-1,63116,22759,30954,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Dadra and Nagar Haveli,2019-20,Jan-2020,GSTR-1,4000,2576,958,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Puducherry,2019-20,Jan-2020,GSTR-1,13562,6083,5839,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Uttar Pradesh,2019-20,Jan-2020,GSTR-3,1133999,893078,165281,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Arunachal Pradesh,2019-20,Jan-2020,GSTR-1,7275,923,2580,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Jharkhand,2019-20,Jan-2020,GSTR-3,144908,109238,26895,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Rajasthan,2019-20,Jan-2020,GSTR-3,543495,437636,80355,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Delhi,2019-20,Jan-2020,GSTR-1,253369,104289,75861,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Assam,2019-20,Jan-2020,GSTR-3,144136,90640,38613,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
West Bengal,2019-20,Jan-2020,GSTR-3,612426,452590,93337,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Gujarat,2019-20,Jan-2020,GSTR-1,297941,180734,78662,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Odisha,2019-20,Jan-2020,GSTR-3,223595,167298,44665,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Uttarakhand,2019-20,Jan-2020,GSTR-1,43497,16192,16098,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Mizoram,2019-20,Jan-2020,GSTR-3,6170,3332,1410,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Meghalaya,2019-20,Jan-2020,GSTR-3,26536,15788,5248,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Haryana,2019-20,Jan-2020,GSTR-1,153606,79984,43605,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Sikkim,2019-20,Jan-2020,GSTR-1,3908,1156,1605,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Tripura,2019-20,Jan-2020,GSTR-3,24312,17155,4214,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Puducherry,2019-20,Jan-2020,GSTR-3,19656,14448,3535,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Madhya Pradesh,2019-20,Jan-2020,GSTR-1,121996,52770,53262,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Gujarat,2019-20,Jan-2020,GSTR-3,881788,726176,121043,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Karnataka,2019-20,Jan-2020,GSTR-1,443230,194070,193533,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Rajasthan,2019-20,Jan-2020,GSTR-1,152784,78919,47168,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Dadra and Nagar Haveli,2019-20,Jan-2020,GSTR-3,8080,5892,1760,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Jammu and Kashmir,2019-20,Jan-2020,GSTR-1,39353,7077,20085,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Daman and Diu,2019-20,Jan-2020,GSTR-1,3105,1877,898,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Punjab,2019-20,Jan-2020,GSTR-1,95635,59206,22531,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Telangana,2019-20,Jan-2020,GSTR-3,351952,225453,77403,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Andhra Pradesh,2019-20,Jan-2020,GSTR-1,192119,79873,82837,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Bihar,2019-20,Jan-2020,GSTR-1,133090,28179,59302,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Tripura,2019-20,Jan-2020,GSTR-1,10298,2804,4475,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Goa,2019-20,Jan-2020,GSTR-1,17705,6414,5877,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Lakshadweep,2019-20,Jan-2020,GSTR-3,250,107,84,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Delhi,2019-20,Jan-2020,GSTR-3,745423,535714,118879,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Chhattisgarh,2019-20,Jan-2020,GSTR-1,46049,17226,21471,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Maharashtra,2019-20,Jan-2020,GSTR-1,465114,221373,148996,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Meghalaya,2019-20,Jan-2020,GSTR-1,15911,2477,5804,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Kerala,2019-20,Jan-2020,GSTR-3,301724,210240,70329,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Himachal Pradesh,2019-20,Jan-2020,GSTR-3,86096,68670,12543,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Nagaland,2019-20,Jan-2020,GSTR-3,6757,3618,1950,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Goa,2019-20,Jan-2020,GSTR-3,35365,21905,8330,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Chandigarh,2019-20,Jan-2020,GSTR-3,27154,22918,3316,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Mizoram,2019-20,Jan-2020,GSTR-1,4479,804,2015,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Uttarakhand,2019-20,Jan-2020,GSTR-3,129146,97984,22458,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Arunachal Pradesh,2019-20,Jan-2020,GSTR-3,12661,5613,3694,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Punjab,2019-20,Jan-2020,GSTR-3,309304,259004,32591,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Chhattisgarh,2019-20,Jan-2020,GSTR-3,104718,74888,26509,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Madhya Pradesh,2019-20,Jan-2020,GSTR-3,347413,278879,62977,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Assam,2019-20,Jan-2020,GSTR-1,71728,17893,32948,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Telangana,2019-20,Jan-2020,GSTR-1,239471,82395,102331,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Ladakh,2019-20,Jan-2020,GSTR-3,0,0,0,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Ladakh,2019-20,Jan-2020,GSTR-1,868,0,369,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Karnataka,2019-20,Jan-2020,GSTR-3,726054,556486,123894,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Tamil Nadu,2019-20,Jan-2020,GSTR-1,620078,296846,254151,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Manipur,2019-20,Jan-2020,GSTR-1,7119,1032,3230,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Himachal Pradesh,2019-20,Jan-2020,GSTR-1,24254,10351,8628,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Tamil Nadu,2019-20,Jan-2020,GSTR-3,870770,672358,140933,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Sikkim,2019-20,Jan-2020,GSTR-3,7448,4463,2059,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Haryana,2019-20,Jan-2020,GSTR-3,424329,328225,62935,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Manipur,2019-20,Jan-2020,GSTR-3,10240,5167,2874,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Andaman and Nicobar Islands,2019-20,Jan-2020,GSTR-1,2535,449,1534,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Andhra Pradesh,2019-20,Jan-2020,GSTR-3,287132,204971,51546,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
West Bengal,2019-20,Jan-2020,GSTR-1,246718,87747,92650,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Uttar Pradesh,2019-20,Jan-2020,GSTR-1,386848,137990,168581,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Andaman and Nicobar Islands,2019-20,Jan-2020,GSTR-3,3783,1809,1713,2019,"Financial Year (Apr - Mar), 2019",201910,"January, 2020"
Odisha,2019-20,Jul-2019,GSTR-1,104974,13484,54058,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Himachal Pradesh,2019-20,Jul-2019,GSTR-3,89185,63275,15398,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Jammu and Kashmir,2019-20,Jul-2019,GSTR-3,91798,24045,55345,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Telangana,2019-20,Jul-2019,GSTR-3,331330,203099,79986,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Andhra Pradesh,2019-20,Jul-2019,GSTR-3,285278,191174,56084,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Ladakh,2019-20,Jul-2019,GSTR-3,0,0,0,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Assam,2019-20,Jul-2019,GSTR-3,163738,77507,45386,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Jharkhand,2019-20,Jul-2019,GSTR-1,79004,11061,40584,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Madhya Pradesh,2019-20,Jul-2019,GSTR-3,356965,245834,82447,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
West Bengal,2019-20,Jul-2019,GSTR-1,274036,49340,125991,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Assam,2019-20,Jul-2019,GSTR-1,103195,8785,40265,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Meghalaya,2019-20,Jul-2019,GSTR-1,16556,1545,6564,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Tripura,2019-20,Jul-2019,GSTR-1,12173,1621,5306,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Mizoram,2019-20,Jul-2019,GSTR-1,4339,525,2140,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
West Bengal,2019-20,Jul-2019,GSTR-3,598953,411303,114817,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Maharashtra,2019-20,Jul-2019,GSTR-1,600814,131262,230238,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Manipur,2019-20,Jul-2019,GSTR-1,8347,521,3628,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Nagaland,2019-20,Jul-2019,GSTR-1,5094,521,2746,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Goa,2019-20,Jul-2019,GSTR-1,19308,4383,7528,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Gujarat,2019-20,Jul-2019,GSTR-1,340947,101809,151011,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Arunachal Pradesh,2019-20,Jul-2019,GSTR-1,7639,569,2698,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Sikkim,2019-20,Jul-2019,GSTR-1,4252,801,1856,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Bihar,2019-20,Jul-2019,GSTR-1,151876,10786,69818,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Karnataka,2019-20,Jul-2019,GSTR-1,464623,96586,274204,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Uttar Pradesh,2019-20,Jul-2019,GSTR-1,453407,73238,221120,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Rajasthan,2019-20,Jul-2019,GSTR-1,205814,50965,72576,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Chhattisgarh,2019-20,Jul-2019,GSTR-3,106003,65499,31707,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Lakshadweep,2019-20,Jul-2019,GSTR-1,179,27,60,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Delhi,2019-20,Jul-2019,GSTR-1,323034,70025,102871,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Haryana,2019-20,Jul-2019,GSTR-1,173026,53550,66357,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Uttarakhand,2019-20,Jul-2019,GSTR-1,54062,8722,22408,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Chandigarh,2019-20,Jul-2019,GSTR-1,10876,4824,3977,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Punjab,2019-20,Jul-2019,GSTR-1,109710,42897,37703,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Jharkhand,2019-20,Jul-2019,GSTR-3,151023,94494,35651,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Himachal Pradesh,2019-20,Jul-2019,GSTR-1,32605,7038,11293,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Madhya Pradesh,2019-20,Jul-2019,GSTR-1,149791,25018,78154,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Jammu and Kashmir,2019-20,Jul-2019,GSTR-1,43438,3444,23653,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Gujarat,2019-20,Jul-2019,GSTR-3,881026,679311,136781,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Tripura,2019-20,Jul-2019,GSTR-3,24393,15743,4626,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Kerala,2019-20,Jul-2019,GSTR-1,189177,30431,118299,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Daman and Diu,2019-20,Jul-2019,GSTR-3,5813,4026,1449,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Tamil Nadu,2019-20,Jul-2019,GSTR-1,670695,132477,395966,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Mizoram,2019-20,Jul-2019,GSTR-3,5617,2890,1535,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Dadra and Nagar Haveli,2019-20,Jul-2019,GSTR-3,8417,5558,1948,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Puducherry,2019-20,Jul-2019,GSTR-1,15621,3128,8471,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Meghalaya,2019-20,Jul-2019,GSTR-3,25640,15002,5586,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Maharashtra,2019-20,Jul-2019,GSTR-3,1409335,911723,319558,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Manipur,2019-20,Jul-2019,GSTR-3,10837,4656,3082,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Andaman and Nicobar Islands,2019-20,Jul-2019,GSTR-1,2934,270,1626,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Daman and Diu,2019-20,Jul-2019,GSTR-1,3338,1463,1290,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Karnataka,2019-20,Jul-2019,GSTR-3,713357,506954,136888,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Telangana,2019-20,Jul-2019,GSTR-1,238294,40853,134292,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Nagaland,2019-20,Jul-2019,GSTR-3,6516,2991,2210,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Goa,2019-20,Jul-2019,GSTR-3,34090,19770,9246,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Andhra Pradesh,2019-20,Jul-2019,GSTR-1,201438,37758,119497,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Chhattisgarh,2019-20,Jul-2019,GSTR-1,53849,8081,29785,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Lakshadweep,2019-20,Jul-2019,GSTR-3,224,91,78,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Arunachal Pradesh,2019-20,Jul-2019,GSTR-3,11396,4233,4230,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Kerala,2019-20,Jul-2019,GSTR-3,298709,188243,81113,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Ladakh,2019-20,Jul-2019,GSTR-1,,,,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Tamil Nadu,2019-20,Jul-2019,GSTR-3,899235,609457,169732,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Sikkim,2019-20,Jul-2019,GSTR-3,7130,4169,1928,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Bihar,2019-20,Jul-2019,GSTR-3,317629,190532,73756,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Uttar Pradesh,2019-20,Jul-2019,GSTR-3,1127309,821714,177867,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Dadra and Nagar Haveli,2019-20,Jul-2019,GSTR-1,4659,1715,1728,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Rajasthan,2019-20,Jul-2019,GSTR-3,561513,402141,95980,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Puducherry,2019-20,Jul-2019,GSTR-3,21076,13013,4485,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Delhi,2019-20,Jul-2019,GSTR-3,765931,490239,140046,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Odisha,2019-20,Jul-2019,GSTR-3,219972,147275,50359,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Haryana,2019-20,Jul-2019,GSTR-3,424544,307634,70678,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Uttarakhand,2019-20,Jul-2019,GSTR-3,131061,86489,27909,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
Chandigarh,2019-20,Jul-2019,GSTR-3,27665,21850,4076,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019"
