srcStateName,srcYear,srcMonth,Central Goods and Services Tax ( CGST ) Revenue,State Goods and Services Tax ( SGST )Revenue,Integrated Goods and Services Tax ( IGST )Revenue,CESS Tax Revenue,YearCode,Year,MonthCode,Month
Maharashtra,2019-20,Apr-2019,4717.8634616,5860.8285722,6369.7190371,1176.1840029,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Dadra and Nagar Haveli,2019-20,Apr-2019,19.3413101,25.8906965,128.6618812,0.0322641,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Daman and Diu,2019-20,Apr-2019,9.2148869,13.4085845,80.3055267,0.0394362,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Gujarat,2019-20,Apr-2019,1849.6366053,2393.4139412,2276.6131569,354.996106,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Madhya Pradesh,2019-20,Apr-2019,623.5129353,841.4314759,709.0824305,451.6834387,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Chattisgarh,2019-20,Apr-2019,415.8592418,516.5499628,731.8047007,634.7077289,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Odisha,2019-20,Apr-2019,672.030369,927.6522161,770.0117484,586.0093758,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Jharkhand,2019-20,Apr-2019,460.7554516,620.0553202,1212.2228199,473.6336137,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
West Bengal,2019-20,Apr-2019,1190.2872273,1549.6955982,1031.3551708,438.2231004,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Assam,2019-20,Apr-2019,276.6861168,406.6570533,193.4720152,55.5405711,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Meghalaya,2019-20,Apr-2019,30.7847906,41.5738369,95.1719116,0.874695,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Tripura,2019-20,Apr-2019,20.2807875,34.6796065,5.9238109,0.1322374,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Mizoram,2019-20,Apr-2019,9.8698124,13.6833869,11.5170164,0.0043161,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Manipur,2019-20,Apr-2019,14.0907513,20.5669524,2.5574145,0.0246152,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Nagaland,2019-20,Apr-2019,8.0340064,12.7806014,6.2189185,1.8893714,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Arunachal Pradesh,2019-20,Apr-2019,23.2789175,29.1474867,4.2212894,0.0545297,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Sikkim,2019-20,Apr-2019,16.7719162,27.499787,121.131319,0.1870538,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Bihar,2019-20,Apr-2019,318.4834604,566.9763979,120.0133902,161.3323577,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Uttar Pradesh,2019-20,Apr-2019,1395.6149514,2160.2471038,1650.509087,1103.4547706,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Rajasthan,2019-20,Apr-2019,816.0024894,1073.2667943,878.10394,128.6988459,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Haryana,2019-20,Apr-2019,743.4353495,1122.3490481,3168.7260887,337.5425408,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019"
Telangana,2020-21,Apr-2020,214.0898698,252.674643,318.5458355,142.8316869,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Rajasthan,2020-21,Apr-2020,177.7801741,183.8608853,92.6211235,42.5936162,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Uttar Pradesh,2020-21,Apr-2020,312.7136276,376.2274775,284.2017125,17.0393032,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Bihar,2020-21,Apr-2020,112.9269518,137.5723374,32.0484116,0.0299819,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Sikkim,2020-21,Apr-2020,4.5251653,5.5298741,70.9750295,0.0011787,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Arunachal Pradesh,2020-21,Apr-2020,18.3965741,21.3007336,2.4731928,0.4964257,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Nagaland,2020-21,Apr-2020,6.2935223,7.4718447,0.5877604,0.0222337,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Manipur,2020-21,Apr-2020,8.593684,11.4699036,1.4438688,0.0010295,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Mizoram,2020-21,Apr-2020,3.3526335,4.1634829,1.7287758,0.0016873,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Tripura,2020-21,Apr-2020,7.9856187,9.7107501,1.9478407,0.0127797,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Meghalaya,2020-21,Apr-2020,8.2018697,9.0936897,3.4005516,0.0057061,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Assam,2020-21,Apr-2020,80.1969863,100.6389104,78.5362008,5.1009479,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
West Bengal,2020-21,Apr-2020,220.6435538,260.6133029,149.0963562,3.1055085,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Jharkhand,2020-21,Apr-2020,74.6309269,89.085858,44.9516895,35.0360549,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Odisha,2020-21,Apr-2020,310.1193012,360.358078,101.3634843,2.45484,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Chattisgarh,2020-21,Apr-2020,82.6217419,93.3781015,171.3647642,3.4891122,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
Madhya Pradesh,2020-21,Apr-2020,149.0420318,176.1878164,104.0750863,33.6233817,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
